"","Q4.1","Q4.2","Q4.3","Q4.4","Q4.5","Q4","Q7.1","Q7.2","Q7.3","Q7.4","Q7.5","Q7.6","Q8","Q9","Q10.1","Q10.2","Q10.3","Q10.4","Q10","Q12","Q13","Q14","Q15.1","Q15.2","Q15.3","Q15.4","Q15.5","Q15.6","Q15.7","Q15","Q16","Q17","Q18","Q20","Q21","Q22","Q23","Q24.1","Q24.2","Q24.3","Q24.4","Q24.5","Q24.6","Q24","Q25.1","Q25.2","Q25.3","Q25.4","Q25.5","Q25.6","Q25.7","Q25.8","Q25","Q26","Q27.1","Q27.2","Q27.3","Q27.4","Q27.5","Q27.6","Q27","Q28","Q29","Q30","Q31.1","Q31.2","Q31.3","Q31.4","Q31.5","Q31","Q32","Q33","Q34.1","Q34.2","Q34.3","Q34.4","Q34","Q35.1","Q35.2","Q35.3","Q35.4","Q35.5","Q35.6","Q35.7","Q35","Q41.1","Q41.2","Q41.3","Q41.4","Q41.5","Q41","Q42.1","Q42.2","Q42.3","Q42.4","Q42.5","Q42","Q43.1","Q43.2","Q43.3","Q43.4","Q43.5","Q43.6","Q43","Q44","Q45","Q46","Q47","Q48","Q37","Q39","Q36","Q40","knowledge.total"
"Q4.1",1,0.506737349483463,-0.0918670309526774,-0.150303193023456,-0.0691872119586382,0.545131165298087,0.0145623194582137,-0.0106404208546803,-0.000854629408005706,0.0349761547464069,-0.0421848240681412,0.0139971410436995,0.0697273808623076,0.0716354227292519,0.0637178232376202,-0.0816046422428187,-0.0266334743322831,0.0728022844876619,0.0772647335188877,-0.13947415477389,-0.101639553183953,0.0306116330245223,0.00752603336004467,0.000988962860571614,0.0837565390085191,0.114841820838439,0.0379722051569793,0.22170807464129,-0.0489643593840784,0.0980284692126352,0.0789928367095228,0.0988871400563898,0.0898446150935,0.0884310586829761,0.0846269691079811,-0.0296422743740473,0.0930695538754031,0.0342160797497881,-0.115906700746442,-0.00949786322113583,-0.0783161650816909,0.076838939328233,0.0312202760790405,0.0229216344073985,-0.0658584931940166,-0.0272701540422566,-0.0806203762149391,0.104212818865871,0.0342136598038959,-0.0167648778720461,-0.0468913492785987,0.0410953271571225,0.0724938014426771,0.0454832934329139,0.0517383934848229,-0.0291354300432385,0.0177041727765166,0.0283108030474556,0.097022562409144,0.111376585294733,0.096882298002039,0.00845007158802505,-0.0228514017450719,0.0367465002412394,0.0666758866860069,-0.0312202760790405,0.0535193336574748,0.0208766474527678,-0.0283108030474556,0.0304720557564146,-0.0591485845162982,-0.0651595673243849,0.0264735405288087,-0.0137170661294967,-0.00475332318347411,0.0130816706624926,0.031113909401375,0.0848533480471706,0.0893209014339651,0.0328527151166372,0.0331182785334672,0.13393302306798,0.0123814205105184,0.0564284648429302,0.123493136114152,0.0141129295744314,-0.0217114986069842,0.0122565676130724,-0.0135340466646268,-0.00787091408838914,-0.0147544886760988,-0.0420609834205382,0.00645184546998563,-0.0452787297508145,-0.0581079824403404,0.0255547443386055,-0.0118314197014595,-0.00684576251866156,-0.0178064270174751,-0.0198921105628823,-0.0319270841374574,0.016828722193991,0.00343068440066062,0.0123663954585454,-0.0485129323089281,-0.011016984757621,0.0472832890483565,-0.0744349166441025,-0.0402028685472192,0.124580378211884,0.00235654648915209,0.0163738344984808,0.0202579846445806,0.0562539921049663
"Q4.2",0.506737349483463,1,-0.109552816210969,-0.00388126177883139,-0.0892880624180825,0.638878540272287,0.0531108978437742,0.0163564588364084,0.0273564720421574,0.0571477720412239,-0.0375707366939252,0.00937041990238586,0.0515572790617985,0.0461210200412656,0.0638873168853195,-0.0599463218021765,-0.0570069652536319,0.0690489526952947,0.08375604105496,-0.195890973595296,-0.175023010496467,0.0438174960342744,0.0108386537361251,0.000457797760204182,0.0210212229810258,0.151292839932391,0.0634660134349851,0.205399756264685,-0.0356723035831065,0.0753500634887734,0.0952417502530156,0.118187285599128,0.104000746204188,0.103787902362418,0.0946540172613706,0.0271660240425078,0.112173183076262,-0.0032073431938979,-0.0359595278716866,0.00925605619192974,0.0349696875662677,0.0929961860411132,0.0125026700259719,0.0682166057154969,-0.0500210500430268,-0.00510042151429299,-0.0284962315515668,0.0563496943482472,0.0636302859160432,0.0463965745830507,0.0207143011096143,0.0957669279832061,0.0900933016357686,0.0162175064110767,0.0245251741998924,0.0338780405145316,-0.0298348819592919,0.0430746756449234,0.115876593325037,0.110039744376451,0.119293566077256,-0.0639661104886533,0.0844504529077077,-0.0432818425475908,0.0443537600216017,-0.112312568584259,0.05949119336155,-0.00843677716277202,-0.0430746756449234,-0.0293410142373004,-0.0533446871849801,-0.0657319892242232,0.0273434465752634,-0.0180903844736872,0.0366348244956556,-0.0189964111413007,0.0216900477917109,0.00518142704561379,0.0314547719049079,0.0214948370577367,-0.0288225347842205,0.120600747079182,0.026788733526793,0.0876339870890927,0.106140455578136,0.0178551238400712,-0.0142053745993148,0.00980630875937347,-0.0473355855656368,0.0134173357832317,-0.0187108422085027,-0.0662290774875238,-0.0340882363264119,-0.040264444905458,-0.0404628327400055,-0.0300551432379237,-0.055916647316451,0.0789387346099714,0.0285014886451734,0.0261405838794183,0.0409429129552951,-0.0242359665385577,-0.019233505118837,0.0268799427744557,0.0605131370767151,0.0475984933728676,0.122616065575877,-0.128335488954187,-0.0221797379775038,0.110024554588006,0.0307551700460238,0.0861616961418927,0.0723108442125275,0.0942657542419273
"Q4.3",-0.0918670309526774,-0.109552816210969,1,0.12694962622095,-0.363480849337572,0.460590271682475,0.0434349426276941,0.0320846642676232,-0.0298449100278328,-0.00626012508953233,0.066671950919438,-0.0274168888056594,0.0789985171900705,0.0886331979337385,0.0148878364062703,-0.0200330454582535,-0.0441286305756501,0.04689403151324,0.0188202073396727,0.0801463875692636,0.0557125214830009,0.131897954248299,0.188176786831335,0.194258114953267,0.232886061361148,0.0817087450894491,0.115626100848994,-0.0936858608125646,-0.188027844428157,0.210418035456268,0.0884540964091543,0.0818646869898387,0.0868996347510754,0.0844636658013957,0.0857555924654214,0.00223106284766336,0.0878249091095635,-0.00365420582059703,0.0554580773147241,0.00115883954773167,-0.0526903369901742,0.0909988374536782,0.0759276530273658,0.0834920347134492,-0.0355034868358146,-0.0124793352472638,0.0166322705150164,0.103935166309499,-0.0216270371487929,-0.0477297183317701,-0.0213012077818167,0.0528244457740335,0.0554423419195646,-0.0246732037714817,0.0169773741463059,0.0791289728987037,0.0110345188746426,0.0276911129919598,0.0408641780352568,0.035185565888642,0.0617033236998185,0.012387136662712,-0.00228900567280483,0.0612054775494204,0.0690036048336445,-0.0257205190557818,0.0473585625389467,0.0264615577213417,0.0494951389698809,0.0400102591580124,-0.116031056452583,-0.0123338337965238,0.0342903092466977,0.0588221590803978,0.0406255705701359,0.0479704987824913,0.0539830291293395,-0.0153336565398124,-0.0301743070008267,-0.0881662591893324,0.0366435660823851,-0.03331767567066,0.0988820871164953,0.129315681960016,0.0834028860110514,-0.007977693250255,-0.0334572395641142,0.0160106021881233,0.0375599189199151,0.0275557229524402,0.014338387635276,0.00020687226324687,0.0465748022497167,0.0107195839476804,-0.0594087800638585,0.0194377530359921,0.0121982602012793,-0.00469618015934154,-0.0445222079254144,-0.0691708514152328,-0.0593038393521306,-0.0195061762251422,0.0538248649289569,-0.00980077989597019,0.070595495140442,0.0529034151643877,-0.0129443732434351,-0.102371765300914,-0.0983305399469174,0.118327720567408,0.0506447348196652,0.140804266833592,0.127283659597552,0.15726432373244
"Q4.4",-0.150303193023456,-0.00388126177883139,0.12694962622095,1,-0.432716394247594,0.27202067799735,0.0423717388118184,0.0891352417963524,0.0941637643677485,0.0768011796404363,0.131613004832735,0.0420655798888815,0.134078112807179,0.100951226318869,-0.03419460897221,0.0679283558930262,-0.00379359441769012,-0.00662511492678265,-0.0094445894978172,0.010826194116436,0.0211306260665807,0.112613550286125,0.139715540604436,0.137965514972669,0.12000352894727,0.0862149132838777,0.117426741183253,0.0307361895099834,-0.151049046986865,0.161483659909209,0.10567042492634,0.107701655927617,0.1181785434569,0.110767723761739,0.10490092054707,0.0461025657625583,0.111775949481761,-0.0215933271999817,-0.0329760602471719,-0.0340268946876567,0.0827348299592612,0.0332401731513481,0.110977925970708,0.0981325607247394,-0.076424816751438,-0.0960162929193194,-0.0196283389481371,0.0794670320517934,0.0289604301631562,-0.0129924494603159,-0.0403852519663224,0.0980961308102815,0.0639394419725825,0.0356548216821889,0.0919578570671466,0.0305854118398777,0.0656751873012602,0.128217089800851,0.0258989744281629,-0.0276048198058945,0.0235104841613623,0.0446001984229255,0.0278295073268312,0.0779570051699615,0.017798304243645,-0.0337189568583566,0.0466690869680255,-0.00189980561233557,0.0697405105271918,0.0320153450040006,0.00871147483347031,-0.0394084372283499,-0.0521937643776576,-0.0233010994619237,0.167300665752097,0.0431336321977854,0.0113853594280226,-0.0139626696522834,0.0653826522471137,-0.0395387334636419,0.039393928075669,-0.0195463143025014,0.125252473521003,0.0625182706281835,0.0671056230549844,0.0344250735534127,-0.0410819486886664,-0.0279254516685129,-0.0423676641904266,-0.029469178464537,-0.0347482691230715,0.0328947191693632,0.065008747080345,0.10256808354096,0.131682563464895,0.0483011603651536,0.0980181988236975,0.0933868372386179,-0.00220375901262743,-0.0145469233025552,0.0464263697783982,0.104137815434883,0.0365270869622592,0.0766682721227341,-0.0412287698237427,0.100256181079348,0.00369872391593643,-0.0450002013699913,-0.0488892748072875,-0.0267426737411574,0.168087802170792,0.149784323835202,-0.0257583041207981,0.09442560843071
"Q4.5",-0.0691872119586382,-0.0892880624180825,-0.363480849337572,-0.432716394247594,1,-0.386590081157067,-0.0442021781322254,0.000525749118072451,-0.00531912393080817,0.00554649589225007,-0.00575281348109479,0.0314024035216881,-0.0988724296251029,-0.0604174928115812,0.0114530309154204,-0.0464910517801841,0.0684053820759867,0.0228415371610815,0.0176863411144118,-0.0063195701482835,0.000728262516568506,-0.111908861722457,-0.236127440064237,-0.183991829397567,-0.190714455441121,-0.0892880624180825,-0.0945323772865101,-0.0300851468466028,0.253881227985756,-0.229266280478867,-0.0962461069520476,-0.0963483645358706,-0.0964565030019839,-0.0966691147330483,-0.0963371183006644,-0.0199493360223368,-0.0964229434964268,0.02762134503945,0.00696876867499955,0.0644976228748008,0.0477268775747552,-0.0222521863620372,-0.0343765710130056,-0.0191284723690981,0.0249624092883135,0.0538351504751191,0.0711915834725576,-0.055671680402165,0.0646134712761272,0.0848377270137838,0.0888898212930126,-0.0186661269151881,0.03256514146267,-0.00308759777276846,-0.0461656179170994,-0.0171488629552371,0.0089059379852871,-0.0394569005668498,-0.00526198610365103,0.0247930822250637,0.00673368191218428,-0.0135801160888335,0.0134261627810672,-0.0172579612964769,-0.039174896936525,0.0129987824515581,-0.00227144738554623,-0.089803993490673,-0.0153185613965417,-0.0565596605991353,0.0708596992818519,0.00857502255116943,-0.052821530581066,0.0300055992381075,-0.0986065443756154,0.0222521863620372,-0.0392473558623,0.00924251074968202,0.0175826478681713,0.091503603090506,-0.0521224217417193,0.0439646477575247,-0.0204808166480857,0.0219203349097698,0.0173868562881377,0.018699758055323,-0.0441992769588426,-0.0260845301702899,0.0379779090781004,0.0903758286144894,-0.0082993912435189,-0.0330316965420396,0.0437950464513166,0.000659582587084146,-0.00924430297096333,0.0228830472125048,0.0112928407843837,-0.0366592462088016,0.0573737574217628,0.0265968555496902,0.014170935928785,0.00593255064423193,-0.0317468316258899,-0.00329905648078397,-0.00600854946031387,0.019418830279537,0.0266983469623896,0.156687654149024,0.113063527617922,-0.00654175357562065,-0.004300313085701,-0.121990806275431,-0.064174705209442,-0.0428583188725644
"Q4",0.545131165298087,0.638878540272287,0.460590271682475,0.27202067799735,-0.386590081157067,1,0.0594285946985528,0.053482183044863,0.0246245202978077,0.0819728281775669,0.0313193617260714,-0.00438802731111954,0.142043699852935,0.150160136186643,0.0645953192274829,-0.0517588056972286,-0.0590894556078843,0.0603239271522654,0.0870934537846432,-0.12476706843275,-0.0984952888278097,0.158920429353474,0.179109593148437,0.166721151894715,0.224441411618242,0.188288004113209,0.131045510054631,0.165536328472094,-0.214155495557047,0.256206478116901,0.148800608007167,0.169320275193148,0.162072375957185,0.156898191979114,0.150668084985614,0.0117519473248073,0.166267826364664,-0.0116990452730712,-0.0398875467081188,0.0143235060116199,0.0127943070082103,0.151348163590551,0.113583535728478,0.146913436037432,-0.100989887968904,-0.0234136520901891,-0.031196357837723,0.174671482093223,0.0868341517787514,-0.00429314592064352,-0.0153130464909413,0.13879400686852,0.16493315444593,-0.00724055566246633,0.0904239393492167,0.0632823576154303,0.0448667540353328,0.0883365580780202,0.156178133766208,0.136506078994391,0.169215512241129,-0.043557551617053,0.0628233222286568,0.00863889408834056,0.0952218396595436,-0.0919068874732208,0.0958583405464348,0.028688371865975,0.0325037259154523,0.0320021465315293,-0.110825170835819,-0.0900723205902204,0.042800173882499,0.0032834334403178,0.10925331247606,0.025513173963,0.0654988520603274,0.00179533213814331,0.0805233009489631,-0.0392869456396291,0.0569752426850735,0.101179752548662,0.114574586049028,0.154588529331849,0.16900641189976,0.0256667666137156,-0.0445701520364424,-0.0120946382468443,-0.0268184143381841,0.00957741198429621,-0.0234097814855089,0.0073213097149138,0.0363122077576048,-0.0115254614813533,-0.022945136900212,0.0445297780166245,0.0152633213034723,0.0507796595777461,0.0297271923238592,-0.00212480049277088,0.0266026545659304,0.0457915601162026,0.0172991001121944,0.0707263891750097,0.0385514031994176,0.0938772615048559,0.103046986153593,-0.175635613565032,-0.0881567172246908,0.153188228675255,0.109558665186452,0.161997217309861,0.157604304359176,0.204484517976421
"Q7.1",0.0145623194582137,0.0531108978437742,0.0434349426276941,0.0423717388118184,-0.0442021781322254,0.0594285946985528,1,0.0424783797956782,0.0996996111194738,0.119275201438136,0.0745366722506045,0.0966684633066408,0.0957151407652312,0.0419351834065502,-0.0169582908814751,0.0309270573181313,-0.0606473513465323,-0.0377587162305307,-0.0471748737117325,-0.0609002020271977,-0.0703105051280332,-0.0146428733448457,-0.0235104399392877,0.00872299351122587,-0.00326890242966509,0.0343178109144387,0.0749499570680554,0.0135690698651926,-0.000925134755233925,0.0299680126055148,0.0615504443239797,0.0746601069013894,0.0674503751360295,0.0684159842017521,0.0688894190096719,-0.0209943858057319,0.0676596227211339,-0.0109513109446419,-0.00478017916060371,0.0787532489998921,0.0132258478840915,0.071780252097032,0.0524214732651436,0.0892573406188758,0.0348583619477098,0.0102917690958967,0.0696353134971413,0.0648929591506684,0.0385927904172974,0.0493558742077745,0.0352128086047081,-0.00228690825736769,0.0690930084751888,-0.0281636087968302,0.0559805945957673,0.0385071473749529,-0.0234680926421192,0.0817042967700963,-0.00949704617250909,0.0522023158873942,0.0451791283398392,0.0302334653864899,-0.0267518436517358,-0.00707146942305443,0.0212113333833009,0.0478742750932081,0.0192308264999301,0.053938936416885,0.00608202388512824,0.0525007643344747,-0.0763474338703726,-0.107897956699728,0.0596767265356742,0.0520244984903246,-0.0251901605931765,0.101266980311764,0.0867105989751861,-0.0755806271354176,0.0489078670341298,-0.0200280268184722,0.00576803320309398,-0.0260134729851537,0.0121750688635783,0.0669193687452774,0.0235437557678645,0.00238318715269976,-0.0177205633071065,0.00429447741381978,-0.0237996764295188,0.031911969525334,0.000486695506364516,-0.0337887303716829,0.0505097529484285,0.0224622068872516,-0.0225194228409277,0.0564882511490058,0.0249515410387199,-0.0152020743971071,0.0672627962859722,-0.0391330037724408,0.0117833348092837,0.0103491105401972,0.00954568442087888,0.00485027419908055,-0.013577118002362,0.00561126523006051,0.0354051664405365,-0.105469634920198,-0.0649781565414055,0.0423216266793964,-0.0209449201664472,0.0136618193872127,0.0364006654278294,0.0125520432307199
"Q7.2",-0.0106404208546803,0.0163564588364084,0.0320846642676232,0.0891352417963524,0.000525749118072451,0.053482183044863,0.0424783797956782,1,0.517180613523357,0.496314385690948,0.413314415531087,0.501982099255078,0.0907186863382992,-0.0250324608311574,-0.0139256561026313,0.0306822263443801,0.0141616075810148,-0.0224130626281294,-0.00567461699741586,0.0225422279947219,-0.00175956151977438,-0.000897036598661442,0.0603358749543622,0.0383751704060493,-0.0246689727204665,0.0477476424618386,0.0486864879470802,-0.0309731289694242,-0.0270072769360285,0.00959328211638304,0.04885861643262,0.0555824190506842,0.0474785363333921,0.0495000126017082,0.0512107995752699,-0.0577635561081688,0.0444449916478586,-0.0824237200247116,0.0614116469962405,0.0339685840352566,0.123011447849547,0.00281249128227647,0.0996474632151998,0.105280022248473,-0.0308569647745193,-0.0272483783641438,-0.0444896115893469,0.0456965150439897,0.0538607173967413,0.0528869539523615,0.0325420803797745,0.0793932141701955,0.0994602712356689,-0.0160320242597568,-0.00749789342385465,0.0782424557658475,0.0374160639603879,0.105947385455745,0.0459027938676076,-0.00743494771536082,0.0509333569643121,-0.0231218214610761,0.0224750770169861,0.0142463412512909,0.0361435350945505,-0.0825769367869692,-0.0256747327449495,-0.00932926903654449,-0.0221140441637227,-0.0209366538253498,-0.0275766131243419,-0.00119126131573369,0.0193793141894011,0.109112246034934,0.0237970092620737,0.00991231683631583,0.0427861426034845,0.013742039137575,0.0316484740567865,-0.0251973419679859,-0.0190288330831022,0.0555659995827235,0.0392604211415069,0.0656339238546923,0.0533643457256782,0.055197551426472,-0.0812672696262063,-0.0795305192532807,-0.00467830988108615,0.0679424998307607,-0.0455930766772138,0.0417518628366224,0.0373307672079244,0.078183317750722,0.115660442229542,0.0929997584608925,0.0995530796488369,0.100491608166403,0.0283232721078489,0.0292311680830077,0.0782015585822284,0.0993280299777941,-0.0129126980051714,0.096921523864886,-0.0431036384805509,0.0161366010215817,-0.0404109739759548,0.0450015931403873,-0.0574184935726307,0.0302413623565029,0.148342419729749,0.0670358094990069,0.0395199882703955,0.0962691660025315
"Q7.3",-0.000854629408005706,0.0273564720421574,-0.0298449100278328,0.0941637643677485,-0.00531912393080817,0.0246245202978077,0.0996996111194738,0.517180613523357,1,0.6606692913829,0.589394547250443,0.819378345016029,0.0402305682081785,-0.0508994154927023,-0.0406383824823888,0.0270427259953747,0.066468640244462,-0.0203028662686543,-0.0395574397623508,0.0185261748467056,0.0151339977447646,-0.0287002330531591,0.0138223361487717,0.0104282122966269,-0.0234660182882442,-0.0397735941038458,-0.0519151228080915,-0.000375895873300484,-0.0254802934478889,-0.00725478527885277,-0.0486672093039089,-0.0436515806185143,-0.0524528960321875,-0.0482680752065445,-0.0557867704143837,-0.045239781345495,-0.0510037995050204,-0.110058671377009,0.0196134326632627,-0.0110450590037026,0.098119185740283,0.0832790942556418,0.06757725383646,0.114912185846472,0.0363095971027918,-0.0496509981198316,-0.0174202699193595,0.0672527593941888,0.11980429747228,0.0704376631659706,0.133015467602493,0.0394737047583172,0.139127370167488,-0.0599719998942256,-0.00291870068717549,0.0126685472544738,0.0210584528039455,0.114984554166501,0.0273541795592127,-0.0210784595136904,0.0108811589454354,0.0415513183097763,-0.0422930384443742,0.0422056520794015,0.0764550280768971,-0.0482898392621921,0.0371823433774629,0.0845853807584078,-0.00280895733117768,0.0547254477429804,-0.0760955403903048,-0.0510082433176687,-0.0230638491935366,0.0870578153292869,0.0294491323879525,0.000546265747339166,0.0122749593415893,0.0296742830536545,0.0542298005081007,0.0108615112027007,0.0477378507296191,0.0658252377330818,-0.00109489724813555,0.0899021869576542,0.0789732903349013,-0.00204812096553545,0.012782153204407,0.0212251755660306,0.0139331035264997,-0.0594385760891852,-0.000761574078372391,0.0593685126276632,0.00872304004466778,0.0970363505875832,0.0848802057870992,0.0532596075897317,0.0759732599381948,0.035617988240308,-0.0475827300519845,0.0539055464229762,0.0543270964981497,0.0204402284144115,0.0410540645404256,0.0105162359570968,0.0206624022978804,0.00150264025667576,-0.0470687717280416,-0.000266094299301065,-0.0383306652503597,-0.0287087911458502,0.0434887397289507,0.0626013789406741,-0.048805851479977,0.00107018844878771
"Q7.4",0.0349761547464069,0.0571477720412239,-0.00626012508953233,0.0768011796404363,0.00554649589225007,0.0819728281775669,0.119275201438136,0.496314385690948,0.6606692913829,1,0.611699751889066,0.671208953076674,0.119464412382282,-0.00198496652520727,-0.0362874941261248,0.0311473774447661,0.095495010748263,-0.038263268042687,-0.0261951397882307,-0.000162608036355966,0.00153982100070735,-0.0118530300351616,0.0236901028567414,0.0582361018560541,0.0380850648327236,0.00337670209697533,0.0123562447565818,0.00655717178458809,-0.0352122020647219,0.0417976162866941,0.02658145826073,0.0261035442864329,0.02451221048096,0.0254187227985965,0.0175874269118444,-0.0217202218850226,0.0200995344034169,-0.088337457293283,0.0503611869060771,0.0196797619324093,0.0959611053526216,0.10187899661032,0.0115537850509696,0.101897836297233,-0.026272776947686,-0.00252665756411599,-0.0139277676837086,0.000284797759550742,0.0782845914138313,0.014319764730568,0.0674222022317709,0.0473445331716925,0.058026174809045,-0.00689087850021328,-0.00661517943588328,0.0135163074594138,0.00129858911374095,0.13499335713267,0.0378498604300901,0.0570690753888414,0.0618208083471774,0.0756916099003407,-0.101442689854934,0.0531260793658403,0.0769303365088481,0.00852412585982647,-0.0221438641015768,0.0182772391360403,0.0220603179459822,0.0734551698767906,-0.065783545665728,-0.0894626812405233,-0.00302567690738731,0.0561596909088293,0.0129576329312168,0.0427922242862481,0.0341292724579116,0.086394059235628,0.0107489930718448,0.0343247284022442,0.0513775162047558,0.0617132812237027,0.0700778834330569,0.126031910704788,0.129071252944415,0.0873975209208613,-0.122581288060276,-0.028757138403181,-0.0408219867347707,0.00692833556936224,-0.0797105634895544,0.0984796397894295,0.0112656656113404,0.12368746076037,0.108619380989095,0.0584601983602324,0.100354412595486,0.100801668362634,-0.00661867463746314,0.0711243702388629,0.114911374576839,0.0901561579665931,-0.0202247931241407,0.09456049004027,0.0270501954464786,0.0520927709656456,-0.0261361045485952,0.0266001946777093,-0.00592155995399763,0.0924772758040714,0.102106238135182,0.0895152262894167,0.0480473133377049,0.111681642707798
