"","Q4.1","Q4.2","Q4.3","Q4.4","Q4.5","Q4","Q7.1","Q7.2","Q7.3","Q7.4","Q7.5","Q7.6","Q8","Q9","Q10.1","Q10.2","Q10.3","Q10.4","Q10","Q12","Q13","Q14","Q15.1","Q15.2","Q15.3","Q15.4","Q15.5","Q15.6","Q15.7","Q15","Q16","Q17","Q18","Q20","Q21","Q22","Q23","Q24.1","Q24.2","Q24.3","Q24.4","Q24.5","Q24.6","Q24","Q25.1","Q25.2","Q25.3","Q25.4","Q25.5","Q25.6","Q25.7","Q25.8","Q25","Q26","Q27.1","Q27.2","Q27.3","Q27.4","Q27.5","Q27.6","Q27","Q28","Q29","Q30","Q31.1","Q31.2","Q31.3","Q31.4","Q31.5","Q31","Q32","Q33","Q34.1","Q34.2","Q34.3","Q34.4","Q34","Q35.1","Q35.2","Q35.3","Q35.4","Q35.5","Q35.6","Q35.7","Q35","Q41.1","Q41.2","Q41.3","Q41.4","Q41.5","Q41","Q42.1","Q42.2","Q42.3","Q42.4","Q42.5","Q42","Q43.1","Q43.2","Q43.3","Q43.4","Q43.5","Q43.6","Q43","Q44","Q45","Q46","Q47","Q48","Q37","Q39","Q36","Q40","knowledge.total"
"Q4.1",0,4.8336251144098e-28,1,1,1,8.93160993742771e-34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0149025643494879,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q4.2",4.8336251144098e-28,0,1,1,1,2.18646676757782e-51,1,1,1,1,1,1,1,1,1,1,1,1,1,0.236259790761182,1,1,1,1,1,1,1,0.0888761347632366,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q4.3",1,1,0,1,4.48086479102703e-12,4.76309578500581e-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.504887584242435,0.278156447530873,0.00404114243727413,1,1,1,0.512193810622665,0.0520666149012711,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q4.4",1,1,1,0,7.58698028881156e-19,2.44418813276813e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q4.5",1,1,4.48086479102703e-12,7.58698028881156e-19,0,3.68441675072074e-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00273345381727989,0.752798217754254,0.394584967450945,1,1,1,0.000290071321215363,0.00621173513177378,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q4",8.93160993742771e-34,2.18646676757782e-51,4.76309578500581e-22,2.44418813276813e-05,3.68441675072074e-14,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0108979432016834,0.499496350672586,1,1,0.0346669437105538,0.000213451106137628,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0978429686404787
"Q7.1",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q7.2",1,1,1,1,1,1,1,0,1.57220599621695e-29,1.31463569234494e-26,8.7140586245989e-17,2.21245063838516e-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q7.3",1,1,1,1,1,1,1,1.57220599621695e-29,0,2.095514783157e-56,2.24705268857908e-41,1.54295474868439e-111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q7.4",1,1,1,1,1,1,1,1.31463569234494e-26,2.095514783157e-56,0,1.14177518940549e-45,5.49439789741028e-59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
